Record Length,Analog:2800
Sample Interval,CH1:0.0000099999997 CH2:0.0000099999997
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:1.00 CH2:1.00,,,
Vertical Offset,CH1:0.12000 CH2:-0.62000,,,
Horizontal Units,us,,,
Horizontal Scale,5000.0000000000,,,
Model Number,T3DSO1204 ,,,
Serial Number,T0101C19080606,,,
Software Version,8.1.6.1.26,,,
Source,CH1,CH2
Second,Volt,Volt
 0.04318000000,-4.24000,-3.74000
 0.04319000000,-4.20000,-3.70000
 0.04320000000,-4.20000,-3.74000
 0.04321000000,-4.24000,-3.70000
 0.04322000000,-4.28000,-3.74000
 0.04323000000,-4.28000,-3.70000
 0.04324000000,-4.28000,-3.70000
 0.04325000000,-4.28000,-3.70000
 0.04326000000,-4.24000,-3.74000
 0.04327000000,-4.28000,-3.74000
 0.04328000000,-4.24000,-3.74000
 0.04329000000,-4.24000,-3.78000
 0.04330000000,-4.28000,-3.78000
 0.04331000000,-4.28000,-3.74000
 0.04332000000,-4.24000,-3.74000
 0.04333000000,-4.32000,-3.74000
 0.04334000000,-4.28000,-3.74000
 0.04335000000,-4.32000,-3.74000
 0.04336000000,-4.28000,-3.74000
 0.04337000000,-4.28000,-3.74000
 0.04338000000,-4.28000,-3.78000
 0.04339000000,-4.32000,-3.74000
 0.04340000000,-4.28000,-3.78000
 0.04341000000,-4.32000,-3.74000
 0.04342000000,-4.28000,-3.74000
 0.04343000000,-4.32000,-3.78000
 0.04344000000,-4.32000,-3.82000
 0.04345000000,-4.28000,-3.74000
 0.04346000000,-4.28000,-3.78000
 0.04347000000,-4.32000,-3.78000
 0.04348000000,-4.32000,-3.78000
 0.04349000000,-4.32000,-3.74000
 0.04350000000,-4.32000,-3.74000
 0.04351000000,-4.28000,-3.74000
 0.04352000000,-4.32000,-3.74000
 0.04353000000,-4.28000,-3.78000
 0.04354000000,-4.28000,-3.74000
 0.04355000000,-4.28000,-3.74000
 0.04356000000,-4.28000,-3.78000
 0.04357000000,-4.28000,-3.78000
 0.04358000000,-4.24000,-3.70000
 0.04359000000,-4.24000,-3.70000
 0.04360000000,-4.28000,-3.74000
 0.04361000000,-4.28000,-3.74000
 0.04362000000,-4.28000,-3.74000
 0.04363000000,-4.28000,-3.74000
 0.04364000000,-4.28000,-3.70000
 0.04365000000,-4.20000,-3.74000
 0.04366000000,-4.24000,-3.74000
 0.04367000000,-4.24000,-3.70000
 0.04368000000,-4.24000,-3.70000
 0.04369000000,-4.24000,-3.70000
 0.04370000000,-4.24000,-3.66000
 0.04371000000,-4.24000,-3.70000
 0.04372000000,-4.24000,-3.66000
 0.04373000000,-4.24000,-3.66000
 0.04374000000,-4.24000,-3.66000
